tweet_id,label,threshold_prediction,prediction_confidence,jihadi_probability,source_file,text,model_text,prob_Irrelevant,prob_Salafi jihadi,prob_Salafi taklidi
xfinb6ufa,Irrelevant,Salafi jihadi,0.7192359782471385,0.7192359782471385,python/tweetsFromSite/tests_from_site4.csv,"""It should be clear for everyone that individuals such as Ali Gomaa, Ahmad at-Tayyib, Habib Ali Jifri &amp; their likes have a close to infallible status amongst many. All of their criminal actions &amp; statements are swept under the rug &amp; they are respected as religious authorities.""","""It should be clear for everyone that individuals such as Ali Gomaa, Ahmad at-Tayyib, Habib Ali Jifri &amp; their likes have a close to infallible status amongst many. All of their criminal actions &amp; statements are swept under the rug &amp; they are respected as religious authorities.""",0.1541286955528916,0.7192359782471385,0.1266353261999699
ei201flab,Salafi taklidi,Salafi jihadi,0.6756905437655434,0.6756905437655434,python/tweetsFromSite/tweets_from_site5.csv,"""""Salafi/Madkhali publications affiliated Sudani Shaykh Nizar ibn Hashim al-Abbas on how the UAE has joined with the enemies of Allah &amp; spread Kufr &amp; Shirk,

No state in the history of Islam has done what the UAE has done. 
""
--------------

Its like all of the spubs Madkhalis have turned a blind eye to what their Shaykh said lol. If anyone else said this, theyd be labelled a Takfiri Khaariji Qutbi Sururi Ikhwaani.","""""Salafi/Madkhali publications affiliated Sudani Shaykh Nizar ibn Hashim al-Abbas on how the UAE has joined with the enemies of Allah &amp; spread Kufr &amp; Shirk, No state in the history of Islam has done what the UAE has done. "" -------------- Its like all of the spubs Madkhalis have turned a blind eye to what their Shaykh said lol. If anyone else said this, theyd be labelled a Takfiri Khaariji Qutbi Sururi Ikhwaani.",0.1195630970336295,0.6756905437655434,0.204746359200827
d3balmspm,Salafi taklidi,Salafi jihadi,0.5963275327636663,0.5963275327636663,python/tweetsFromSite/tweets_from_site4.csv,"""""@followerofgod96 @Alelislam It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN""
""
--------------

Because he believes doing  major shirk doesn't make someone a mushrik","""""@USER @USER It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN"" "" -------------- Because he believes doing major shirk doesn't make someone a mushrik",0.1882956039630665,0.5963275327636663,0.2153768632732672
s9pp2fcfe,Irrelevant,Salafi jihadi,0.5559295286904448,0.5559295286904448,python/tweetsFromSite/tweets_from_site4.csv,"""Ruhayli says his land (S*udi) is built upon the Deen, it has acted upon &amp; truly established moderation due to the rulers &amp; the scholars. He then goes on to quote his king who apparently spoke golden words regarding moderation &amp; extremism.","""Ruhayli says his land (S*udi) is built upon the Deen, it has acted upon &amp; truly established moderation due to the rulers &amp; the scholars. He then goes on to quote his king who apparently spoke golden words regarding moderation &amp; extremism.",0.2389949532162488,0.5559295286904448,0.2050755180933063
7j17yz7ig,Salafi taklidi,Salafi jihadi,0.550695568346654,0.550695568346654,python/tweetsFromSite/tweets_from_site5.csv,"""The Madkhalis are h*rny and  Rise up and discuss (pls dont). @ameeniooo This is the students and product of Shamsi and SPUBS. Is this how you refute Khawarij ? By engaging in the same filth that Allah destroyed entire nations for ? #salafi #salafiyyah","""The Madkhalis are h*rny and Rise up and discuss (pls dont). @USER This is the students and product of Shamsi and SPUBS. Is this how you refute Khawarij ? By engaging in the same filth that Allah destroyed entire nations for ? #salafi #salafiyyah",0.2098416181191467,0.550695568346654,0.2394628135341992
l0z65iy42,Salafi taklidi,Salafi jihadi,0.5182797069409771,0.5182797069409771,python/tweetsFromSite/tweets_from_site4.csv,These man will make takfir al adhir their whole personality and ensure their life revolves around it,These man will make takfir al adhir their whole personality and ensure their life revolves around it,0.2886032205466177,0.5182797069409771,0.1931170725124051
60iu6jkx3,Salafi taklidi,Salafi jihadi,0.4957948183312207,0.4957948183312207,python/tweetsFromSite/tests_from_site4.csv,"""In 1989

Sh Albani to Sh Saleh:

Takfiris love you

...

Sh Saleh l-Shaykh on kufr of Libya, Egypt, Tunisia, Syria, Kuwait govs:

Now there are two issues [of major kufr]: I have given examples of the firstnamely, the issue of takm by the sharah.","""In 1989 Sh Albani to Sh Saleh: Takfiris love you ... Sh Saleh l-Shaykh on kufr of Libya, Egypt, Tunisia, Syria, Kuwait govs: Now there are two issues [of major kufr]: I have given examples of the firstnamely, the issue of takm by the sharah.",0.2021420743160232,0.4957948183312207,0.3020631073527561
ldvlx44a4,Irrelevant,Salafi jihadi,0.4858686662026518,0.4858686662026518,python/tweetsFromSite/tweets_from_site4.csv,Moroccan minister of justice Abdul Latif Wahbi says that a (unrelated) man &amp; woman being alone in a house is not a crime. He then refers to the Hadith of Shaytaan being the third of them &amp; mocks it by saying Give me the national identity card of Shaytaan.,Moroccan minister of justice Abdul Latif Wahbi says that a (unrelated) man &amp; woman being alone in a house is not a crime. He then refers to the Hadith of Shaytaan being the third of them &amp; mocks it by saying Give me the national identity card of Shaytaan.,0.365287227930603,0.4858686662026518,0.1488441058667453
672n3bxv0,Irrelevant,Salafi jihadi,0.4613767959127466,0.4613767959127466,python/tweetsFromSite/tweets_from_site5.csv,Says who?,Says who?,0.3397821423996541,0.4613767959127466,0.1988410616875993
lf51g3jrm,Salafi taklidi,Salafi jihadi,0.4575814049407031,0.4575814049407031,python/tweetsFromSite/tweets_from_site5.csv,"""The devil-hearted ruler... 

There are many wicked Khariji Muslims who deliberately twist the narrations regarding the obedience to rulers. Or, they cite the ones that they allege support their revolutionary tendencies and ignore the ones which expose them and their lies. 

Be careful of these people. 

If you live in Muslim country that has a Muslim ruler, then listen and obey in that which is good and don't obey him in disobedience. 

Don't speak ill of him in public and don't advise him from pulpits.

Make Duaa for him and not against him. 

Don't incite the masses against him and call for revolts and corruption. 

If you live among the Kuffaar, then remain silent as you have no right to discuss our affairs nor is there any weight for the opinion of a hypocrite who pays taxes to the Kuffaar, pledges allegiance to them and helps them in their evil ways by neighboring them and residing amongst them. 

Fear Allaah and adhere to the Sunnah.""","""The devil-hearted ruler... There are many wicked Khariji Muslims who deliberately twist the narrations regarding the obedience to rulers. Or, they cite the ones that they allege support their revolutionary tendencies and ignore the ones which expose them and their lies. Be careful of these people. If you live in Muslim country that has a Muslim ruler, then listen and obey in that which is good and don't obey him in disobedience. Don't speak ill of him in public and don't advise him from pulpits. Make Duaa for him and not against him. Don't incite the masses against him and call for revolts and corruption. If you live among the Kuffaar, then remain silent as you have no right to discuss our affairs nor is there any weight for the opinion of a hypocrite who pays taxes to the Kuffaar, pledges allegiance to them and helps them in their evil ways by neighboring them and residing amongst them. Fear Allaah and adhere to the Sunnah.""",0.2262290621396776,0.4575814049407031,0.3161895329196192
