tweet_id,label,prediction,prediction_confidence,jihadi_probability,source_file,text,model_text,prob_Irrelevant,prob_Salafi jihadi,prob_Salafi taklidi,error_type
xfinb6ufa,Irrelevant,Salafi jihadi,0.7192359782471385,0.7192359782471385,python/tweetsFromSite/tests_from_site4.csv,"""It should be clear for everyone that individuals such as Ali Gomaa, Ahmad at-Tayyib, Habib Ali Jifri &amp; their likes have a close to infallible status amongst many. All of their criminal actions &amp; statements are swept under the rug &amp; they are respected as religious authorities.""","""It should be clear for everyone that individuals such as Ali Gomaa, Ahmad at-Tayyib, Habib Ali Jifri &amp; their likes have a close to infallible status amongst many. All of their criminal actions &amp; statements are swept under the rug &amp; they are respected as religious authorities.""",0.1541286955528916,0.7192359782471385,0.1266353261999699,Irrelevant_as_Salafi jihadi
ei201flab,Salafi taklidi,Salafi jihadi,0.6756905437655434,0.6756905437655434,python/tweetsFromSite/tweets_from_site5.csv,"""""Salafi/Madkhali publications affiliated Sudani Shaykh Nizar ibn Hashim al-Abbas on how the UAE has joined with the enemies of Allah &amp; spread Kufr &amp; Shirk,

No state in the history of Islam has done what the UAE has done. 
""
--------------

Its like all of the spubs Madkhalis have turned a blind eye to what their Shaykh said lol. If anyone else said this, theyd be labelled a Takfiri Khaariji Qutbi Sururi Ikhwaani.","""""Salafi/Madkhali publications affiliated Sudani Shaykh Nizar ibn Hashim al-Abbas on how the UAE has joined with the enemies of Allah &amp; spread Kufr &amp; Shirk, No state in the history of Islam has done what the UAE has done. "" -------------- Its like all of the spubs Madkhalis have turned a blind eye to what their Shaykh said lol. If anyone else said this, theyd be labelled a Takfiri Khaariji Qutbi Sururi Ikhwaani.",0.1195630970336295,0.6756905437655434,0.204746359200827,Salafi taklidi_as_Salafi jihadi
vvnjw81td,Salafi jihadi,Irrelevant,0.6601113844671372,0.2027757891916104,python/tweetsFromSite/tests_from_site4.csv,"""@maghribii16 This is simply not true! JNIM also mobilized fighters from central Mali and Burkina Faso and fought alongside Tuareg Sahawat MSA and GATIA.

Nevertheless, IS-Sahel was able to defeat both JNIM and the Tuareg Sahawat at Menaka in 2023:","""@USER This is simply not true! JNIM also mobilized fighters from central Mali and Burkina Faso and fought alongside Tuareg Sahawat MSA and GATIA. Nevertheless, IS-Sahel was able to defeat both JNIM and the Tuareg Sahawat at Menaka in 2023:",0.6601113844671372,0.2027757891916104,0.1371128263412522,Salafi jihadi_as_Irrelevant
5tppsyss1,Salafi jihadi,Irrelevant,0.6587340413427802,0.2009021997938616,python/tweetsFromSite/tweets_from_the_site1.csv,"""""BREAKING: The U.S. State Department has ordered American diplomats to leave Saudi Arabia after drone attacks near the U.S. Embassy in Riyadh.

Source: NYT""
""
--------------

No, please stay put in the Land of Tawheed,","""""BREAKING: The U.S. State Department has ordered American diplomats to leave Saudi Arabia after drone attacks near the U.S. Embassy in Riyadh. Source: NYT"" "" -------------- No, please stay put in the Land of Tawheed,",0.6587340413427802,0.2009021997938616,0.1403637588633582,Salafi jihadi_as_Irrelevant
qozq19zv0,Salafi taklidi,Irrelevant,0.6373097043539736,0.1841230064518604,python/tweetsFromSite/tests_from_site4.csv,"""""@KItreal512 @Ba_ups56 Stop protecting and prove your argument , how does saying Allah ""hand isn't like  x,you and z"" negates apparent meaning  Don't be scared jahmi 
""
--------------

Ashari ibn Zani's Guide to Online Debate:

1. Block your opponent if you can't prove how  negating tashbih is negating apparent meaning","""""@USER @USER Stop protecting and prove your argument , how does saying Allah ""hand isn't like x,you and z"" negates apparent meaning Don't be scared jahmi "" -------------- Ashari ibn Zani's Guide to Online Debate: 1. Block your opponent if you can't prove how negating tashbih is negating apparent meaning",0.6373097043539736,0.1841230064518604,0.178567289194166,Salafi taklidi_as_Irrelevant
nnbf5fhrn,Salafi taklidi,Irrelevant,0.6121784827782467,0.1997172917106061,python/tweetsFromSite/tweets_from_site5.csv,"""Limam Al-Khatib Al-Baghdadi   a dit:

Tout comme les richesses ne sont utiles qu'en les dpensant, de mme les connaissances ne profitent qu' celui qui les met en pratique et respecte les obligations.

Que chacun donc examine sa propre personne et saisisse le butin de son temps, car le sjour [ici-bas] est court, le dpart [la mort] est proche, le chemin est dangereux, lillusion est frquente et le danger est grand. 

Celui qui juge est clairvoyant, Allah est aux aguets et vers Lui se fera le retour et la destination finale. Allah dit : {Quiconque fait un bien ft-ce du poids dun atome, le verra, et quiconque fait un mal ft-ce du poids dun atome, le verra.}

  Iqtidaa Al-Ilm Al-Amal, p.16.

 Az-Zalzalah, v.7-8.","""Limam Al-Khatib Al-Baghdadi a dit: Tout comme les richesses ne sont utiles qu'en les dpensant, de mme les connaissances ne profitent qu' celui qui les met en pratique et respecte les obligations. Que chacun donc examine sa propre personne et saisisse le butin de son temps, car le sjour [ici-bas] est court, le dpart [la mort] est proche, le chemin est dangereux, lillusion est frquente et le danger est grand. Celui qui juge est clairvoyant, Allah est aux aguets et vers Lui se fera le retour et la destination finale. Allah dit : {Quiconque fait un bien ft-ce du poids dun atome, le verra, et quiconque fait un mal ft-ce du poids dun atome, le verra.} Iqtidaa Al-Ilm Al-Amal, p.16. Az-Zalzalah, v.7-8.",0.6121784827782467,0.1997172917106061,0.1881042255111471,Salafi taklidi_as_Irrelevant
cfi3jhp9y,Salafi jihadi,Irrelevant,0.6104009545849906,0.2689202637928778,python/tweetsFromSite/tweets_from_the_site1.csv,"""""..Dont Deceive The Muslims .. 
""
--------------

Funny how this Munafiq is speaking about Iran allying with America what about your Taghut kingdomof Saudi Arabia ya Munafiq 
(Check thread),","""""..Dont Deceive The Muslims .. "" -------------- Funny how this Munafiq is speaking about Iran allying with America what about your Taghut kingdomof Saudi Arabia ya Munafiq (Check thread),",0.6104009545849906,0.2689202637928778,0.1206787816221315,Salafi jihadi_as_Irrelevant
d3balmspm,Salafi taklidi,Salafi jihadi,0.5963275327636663,0.5963275327636663,python/tweetsFromSite/tweets_from_site4.csv,"""""@followerofgod96 @Alelislam It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN""
""
--------------

Because he believes doing  major shirk doesn't make someone a mushrik","""""@USER @USER It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN"" "" -------------- Because he believes doing major shirk doesn't make someone a mushrik",0.1882956039630665,0.5963275327636663,0.2153768632732672,Salafi taklidi_as_Salafi jihadi
7vuwmn980,Salafi taklidi,Irrelevant,0.56505443774094,0.2259956469934399,python/tweetsFromSite/tests_from_site4.csv,"""Imm Dhahb   said: 

If you see the mutakallim innovator saying: leave out the Qur'n &amp; ahad hadith and bring forth logic; then know that he is Ab Jahl.

[Siyr alam an-Nubl (4/472)]","""Imm Dhahb said: If you see the mutakallim innovator saying: leave out the Qur'n &amp; ahad hadith and bring forth logic; then know that he is Ab Jahl. [Siyr alam an-Nubl (4/472)]",0.56505443774094,0.2259956469934399,0.2089499152656201,Salafi taklidi_as_Irrelevant
78yyt0f6b,Salafi jihadi,Irrelevant,0.5627810273723235,0.2699211931493358,python/tweetsFromSite/tweets_from_site5.csv,"""""Amjad Rafeeq expects people to sign such retractions (see below). Maybe he needs to apply this to himself and draft one up to sign? @AbuIyaadSP 
""
--------------

This is hilarious, because they had no problem with this contract for 10 years until their fallout with Abu Iyaad

How am I meant to take you people seriously when you cant even hold your own to account","""""Amjad Rafeeq expects people to sign such retractions (see below). Maybe he needs to apply this to himself and draft one up to sign? @USER "" -------------- This is hilarious, because they had no problem with this contract for 10 years until their fallout with Abu Iyaad How am I meant to take you people seriously when you cant even hold your own to account",0.5627810273723235,0.2699211931493358,0.1672977794783406,Salafi jihadi_as_Irrelevant
